zone,grouping,group,model,n,mae,rmse,bias
DE,regime,upper99_train,chronos,104,118.71608423673189,146.53718365188132,-107.34349024259126
DE,regime,upper99_train,residual,104,104.4454280228493,133.18760351451235,-90.37106310063753
FR,all,all,nyx,8759,12.086988218718629,19.059806793928203,-0.08778607340328025
FR,all,all,storm,8759,11.856627093960498,18.501337585121703,-1.9152461637173197
FR,all,all,chronos,8760,12.976858644720627,20.254357695036788,0.47410458027391117
FR,all,all,residual,8760,12.234221165586872,19.306131607289068,-0.19775380838222578
FR,split,test,nyx,2160,13.653686735966646,19.41389154014229,-0.44931932468536157
FR,split,test,storm,2160,12.303531618055557,18.04031166130361,-3.983967266203704
FR,split,test,chronos,2160,14.558149985878556,20.364699764509723,1.0436887208090886
FR,split,test,residual,2160,13.680499503054333,19.484595694682014,-0.5722814667020092
FR,split,train,nyx,4320,9.963697730775076,13.547297186694296,0.0891797962264527
FR,split,train,storm,4320,9.796871807870371,13.523878537408,0.7987741564814812
FR,split,train,chronos,4321,10.496488474179573,14.235023154021183,-0.06501132688762916
FR,split,train,residual,4321,10.136966062978473,13.713494221225831,0.08825151128905562
FR,split,validation,nyx,2279,14.626938245335756,26.288538819215923,-0.08058148105187661
FR,split,validation,storm,2279,15.337464770074591,25.69879410134104,-5.099155861781483
FR,split,validation,chronos,2279,16.18093508614527,28.277341134786287,0.9564293241479933
FR,split,validation,residual,2279,14.839871928834414,26.76368773489454,-0.3850505369161766
FR,hour,0,nyx,365,9.853211048586006,14.695056811157333,0.8653365045427882
FR,hour,0,storm,365,11.461993372602741,15.90805601704136,0.16981080821917846
FR,hour,0,chronos,365,9.926366962171581,15.01367126466114,0.2638076192777453
FR,hour,0,residual,365,9.921849494558261,14.82533187244865,0.4472831896466227
FR,hour,1,nyx,365,9.575331547726224,13.446073161066582,-0.02369264177628327
FR,hour,1,storm,365,9.842382701369862,13.73872258283002,-2.021633967123288
FR,hour,1,chronos,365,10.021236548227806,13.98788424145049,0.011187938742441606
FR,hour,1,residual,365,9.797972582379844,13.687640139313695,0.06825606976581045
FR,hour,2,nyx,364,10.116636683158374,14.08032229194732,-0.8465479995456779
FR,hour,2,storm,364,9.726128785714286,13.331629891197991,-0.33737384615384663
