stage,family,group,value,n,mae,rmse,bias
test,raw_hourly,country_hour,DE:10,90,16.42925775994195,20.458439493991985,4.473791488647461
test,raw_hourly,country_hour,DE:11,90,15.689643746270072,20.64366769152726,4.73393180847168
test,raw_hourly,country_hour,DE:12,90,14.625165724012586,18.989461012397857,4.2865198940700955
test,raw_hourly,country_hour,DE:13,90,15.169113057454428,18.841960390749684,4.441116865370009
test,raw_hourly,country_hour,DE:14,90,16.00385621303982,19.717836191580133,4.866816336737739
test,raw_hourly,country_hour,DE:15,90,15.598993699815537,19.84827463959782,5.513034800211589
test,raw_hourly,country_hour,DE:16,90,18.969524052937828,23.21606270025739,2.6052928890652116
test,raw_hourly,country_hour,DE:17,90,17.631564683702262,22.48141854021899,2.3747050170898434
test,raw_hourly,country_hour,DE:18,90,15.643256072998048,24.999248169330702,-2.078707122802735
test,raw_hourly,country_hour,DE:19,90,31.71125110880534,69.19658160226565,-14.859494082980687
test,raw_hourly,country_hour,DE:20,90,37.98436306762695,81.62627217483572,-15.718681250678168
test,raw_hourly,country_hour,DE:21,90,28.778159701877172,69.62945084951532,-11.56785175916884
test,raw_hourly,country_hour,DE:22,90,17.133463673909503,38.915560939377855,-7.581642683241104
test,raw_hourly,country_hour,DE:23,90,10.284666625976563,16.153220958689257,-1.8247839084201398
test,raw_hourly,country_negative,DE,165,13.652007360284978,17.893874186416273,8.365893716523141
test,raw_hourly,country_train_q95,DE,548,22.238902771664364,55.06162607948768,-12.78348299458079
test,raw_hourly,country,FR,2160,14.614868591485202,20.422073202861515,0.8407204642472441
test,raw_hourly,country_hour,FR:00,90,8.735890265570747,16.171403341800715,0.7078255479600709
test,raw_hourly,country_hour,FR:01,90,8.66164138115777,13.841499681888843,0.24021804131401991
test,raw_hourly,country_hour,FR:02,90,10.932558414035372,16.016745537823304,0.6409862840440533
test,raw_hourly,country_hour,FR:03,90,12.688002483791774,19.708351452759633,1.2338437177870019
test,raw_hourly,country_hour,FR:04,90,12.333103251139324,18.960011068852946,1.5398835517035587
test,raw_hourly,country_hour,FR:05,90,12.640578030056423,19.179277352984684,0.8030871582031245
test,raw_hourly,country_hour,FR:06,90,13.271116594102647,17.521678506829858,-2.7851059739854596
test,raw_hourly,country_hour,FR:07,90,12.40794290330675,17.066511641877725,-1.857816550360785
test,raw_hourly,country_hour,FR:08,90,13.496847515530057,18.088034951661424,-1.528477194892036
test,raw_hourly,country_hour,FR:09,90,15.153287962171767,18.849067463775967,0.6980909779866548
test,raw_hourly,country_hour,FR:10,90,19.023597685919867,23.517619466616885,4.111436983744304
test,raw_hourly,country_hour,FR:11,90,18.651475701226126,23.72271864511438,4.2738501569959855
test,raw_hourly,country_hour,FR:12,90,17.093851175096297,22.028472449364244,3.5493042661878795
test,raw_hourly,country_hour,FR:13,90,16.501900580512153,21.47936201387013,7.066779334174263
test,raw_hourly,country_hour,FR:14,90,15.88272725338406,20.302559425102004,5.287106349521214
test,raw_hourly,country_hour,FR:15,90,17.785417865329322,22.046664267147428,6.910603722466362
test,raw_hourly,country_hour,FR:16,90,21.702266795688203,26.267961846572803,5.632049096849229
test,raw_hourly,country_hour,FR:17,90,17.34990162150065,22.688817494591888,2.0862493896484375
test,raw_hourly,country_hour,FR:18,90,15.03123412153456,20.000256524364822,-1.6633033540513795
test,raw_hourly,country_hour,FR:19,90,17.824012040879992,27.55108154600727,-4.367786020914715
test,raw_hourly,country_hour,FR:20,90,18.876303165011937,28.23248660934046,-4.953336347791884
test,raw_hourly,country_hour,FR:21,90,14.039392517089842,19.494475042057744,-3.2244475572374136
test,raw_hourly,country_hour,FR:22,90,11.610490173339844,15.975575168925664,-4.449193027072483
