zone,grouping,group,n,coverage80,below_p10,above_p90,width80,interval_score80,wis80_single_interval
DE,hour,17,350,0.76,0.11428571428571428,0.12571428571428572,37.16437110900879,63.22938129607194,8.466289908800782
DE,hour,18,350,0.7885714285714286,0.1,0.11142857142857143,40.97266236441476,64.60804631238602,8.781974094419079
DE,hour,19,350,0.7914285714285715,0.10285714285714286,0.10571428571428572,47.93062765938895,91.3698712521413,11.763897488180472
DE,hour,20,350,0.7742857142857142,0.10571428571428572,0.12,44.955432183401925,99.37841700298416,12.386099142488378
DE,hour,21,350,0.7514285714285714,0.13142857142857142,0.11714285714285715,36.83213369097029,79.74399138821782,9.909217696096261
DE,hour,22,350,0.7371428571428571,0.12857142857142856,0.13428571428571429,27.674896948678153,55.603582436883535,7.115329832450953
DE,hour,23,350,0.76,0.16285714285714287,0.07714285714285714,24.513227637154717,44.08788919968268,5.783060290414361
DE,season,DJF,2160,0.7212962962962963,0.16527777777777777,0.11342592592592593,23.100321185147322,43.49028588299039,5.72592414418271
DE,season,JJA,2208,0.7558876811594203,0.09782608695652174,0.14628623188405798,33.226675705633305,65.26069849022043,8.400800525864623
DE,season,MAM,2207,0.7684639782510195,0.09922972360670594,0.13230629814227457,34.06362385613701,64.09855769041489,8.17686882921682
DE,season,SON,1825,0.7380821917808219,0.13917808219178082,0.12273972602739726,32.54050101084252,56.80976128111246,7.56170042627735
DE,regime,negative,507,0.8875739644970414,0.05917159763313609,0.05325443786982249,46.086109259189705,94.91251645694292,11.014935654127301
DE,regime,upper95_train,729,0.6721536351165981,0.07133058984910837,0.25651577503429357,59.369580377440066,161.65765976135359,20.259295522012575
DE,regime,upper99_train,85,0.29411764705882354,0.023529411764705882,0.6823529411764706,117.02387677360983,694.1032586164513,82.77697146263236
FR,all,all,8400,0.7322619047619048,0.1286904761904762,0.13904761904761906,33.05909959475199,59.50281272980184,7.95546368456188
FR,split,test,1800,0.7383333333333333,0.11666666666666667,0.145,37.837272534900244,64.02279352500918,8.736299980001093
FR,split,train,4321,0.7188150890997455,0.14302244850728998,0.1381624623929646,27.25783855444412,48.235312148851754,6.536705217913073
FR,split,validation,2279,0.7529618253620008,0.11101360245721807,0.13602457218078104,40.284434242800906,77.29610126815732,10.028719499655738
FR,hour,0,350,0.5685714285714286,0.2342857142857143,0.19714285714285715,18.957447531563894,54.514234267152716,6.892931680275549
FR,hour,1,350,0.6428571428571429,0.1657142857142857,0.19142857142857142,21.998711874825613,49.35647430855533,6.4409838249752065
FR,hour,2,350,0.6685714285714286,0.12571428571428572,0.2057142857142857,23.787911600385392,50.84286478584992,6.702344421197773
FR,hour,3,350,0.66,0.14857142857142858,0.19142857142857142,24.968899645124164,56.09456851757027,7.337063112500252
FR,hour,4,350,0.7114285714285714,0.13142857142857142,0.15714285714285714,26.899059208461217,54.7262277891486,7.216463885918755
FR,hour,5,350,0.7057142857142857,0.15142857142857144,0.14285714285714285,28.13098978315081,53.04034175797815,7.151443086475831
FR,hour,6,350,0.7228571428571429,0.15714285714285714,0.12,30.717362038748604,55.8161862004878,7.638555612105247
FR,hour,7,350,0.7371428571428571,0.13428571428571429,0.12857142857142856,34.540508510044646,58.31689241232159,7.974674160727812
