support,zone,label,model,days,first,last,n,mae,rmse,bias
all_models_common,FR,frozen_actual,weekly_naive,358,2025-09-23,2026-09-15,8590,35.156749272409776,48.752570201188426,-2.5378674330617006
all_models_common,FR,frozen_actual,nyx,358,2025-09-23,2026-09-15,8590,12.147417018569937,19.153557611212182,-0.13525957684889822
all_models_common,FR,frozen_actual,chronos,358,2025-09-23,2026-09-15,8590,13.003604900898255,20.329688488674066,0.4051818762582072
all_models_common,FR,frozen_actual,residual,358,2025-09-23,2026-09-15,8590,12.291702149954657,19.398202898272157,-0.2534107664784098
all_models_common,FR,frozen_actual,storm,358,2025-09-23,2026-09-15,8590,11.859975058090804,18.558886508138457,-2.0032611707799766
all_models_common,NL,observed,weekly_naive,358,2025-09-23,2026-09-15,8590,32.67071551222352,51.673636235683105,-2.2858662689173457
all_models_common,NL,observed,nyx,358,2025-09-23,2026-09-15,8590,11.13557541985151,22.471077077903125,-0.8329645123374015
all_models_common,NL,observed,chronos,358,2025-09-23,2026-09-15,8590,12.20876003174156,24.156354326424797,-0.6778473606887079
all_models_common,NL,observed,residual,358,2025-09-23,2026-09-15,8590,11.18040455761123,22.557145877429196,-1.0237805199597916
all_models_common,NL,observed,storm,358,2025-09-23,2026-09-15,8590,11.018266194528522,20.704981537010305,-1.7841513367869617
all_models_common,NL,frozen_actual,weekly_naive,358,2025-09-23,2026-09-15,8590,32.67179700232828,51.674047807613476,-2.286947759022119
all_models_common,NL,frozen_actual,nyx,358,2025-09-23,2026-09-15,8590,11.13587298336231,22.47113858722069,-0.8340460024421745
all_models_common,NL,frozen_actual,chronos,358,2025-09-23,2026-09-15,8590,12.208660176095458,24.156335125279863,-0.6789288507934808
all_models_common,NL,frozen_actual,residual,358,2025-09-23,2026-09-15,8590,11.180136910328425,22.557090763047515,-1.0248620100645645
